Series_Title,Year,title_norm,kg_id,imdb_id,kg_release_date,kg_vote_avg,kg_vote_count,_matched_key
Chhichhore,2019,chhichhore,,,,,,
Uri: The Surgical Strike,2018,uri the surgical strike,,,,,,
K.G.F: Chapter 1,2018,kgf chapter 1,,,,,,
Green Book,2018,green book,,,,,,
"Three Billboards Outside Ebbing, Missouri",2017,three billboards outside ebbing missouri,,,,,,
Talvar,2015,talvar,353464.0,tt4934950,2015-09-14,7.6,33.0,title_norm
Baahubali 2: The Conclusion,2017,baahubali 2 the conclusion,350312.0,tt4849438,2017-04-27,6.7,161.0,title_norm
Klaus,2019,klaus,,,,,,
Drishyam,2015,drishyam,352173.0,tt4430212,2015-07-31,7.5,49.0,title_norm
Queen,2013,queen,,,,,,
Mandariinid,2013,mandariinid,238628,tt2991224,2013-10-16,7.4,83.0,original_title_norm
Bhaag Milkha Bhaag,2013,bhaag milkha bhaag,206324.0,tt2356180,2013-07-12,7.3,62.0,title_norm
Gangs of Wasseypur,2012,gangs of wasseypur,117691.0,tt1954470,2012-06-22,7.0,83.0,title_norm
Udaan,2010,udaan,45316.0,tt1639426,2010-06-17,6.7,39.0,title_norm
Paan Singh Tomar,2012,paan singh tomar,96398.0,tt1620933,2012-03-02,7.3,28.0,title_norm
El secreto de sus ojos,2009,el secreto de sus ojos,25376,tt1305806,2009-08-13,7.8,638.0,original_title_norm
Warrior,2011,warrior,59440.0,tt1291584,2011-09-09,7.7,1297.0,title_norm
Shutter Island,2010,shutter island,11324.0,tt1130884,2010-02-18,7.8,6559.0,title_norm
Up,2009,up,14160.0,tt1049413,2009-05-13,7.8,7048.0,title_norm
The Wolf of Wall Street,2013,the wolf of wall street,106646.0,tt0993846,2013-12-25,7.9,6768.0,title_norm
Chak De! India,2007,chak de india,14163.0,tt0871510,2007-08-10,6.8,69.0,title_norm
There Will Be Blood,2007,there will be blood,7345.0,tt0469494,2007-12-28,7.9,1581.0,title_norm
Pan's Labyrinth,2006,pans labyrinth,1417.0,tt0457430,2006-05-27,7.6,3122.0,title_norm
Toy Story 3,2010,toy story 3,10193.0,tt0435761,2010-06-16,7.6,4710.0,title_norm
V for Vendetta,2005,v for vendetta,,,,,,
Rang De Basanti,2006,rang de basanti,7913.0,tt0405508,2006-01-26,7.2,98.0,title_norm
Black,2005,black,31977.0,tt0375611,2005-02-04,7.7,40.0,title_norm
Batman Begins,2005,batman begins,272.0,tt0372784,2005-06-10,7.5,7511.0,title_norm
"Swades: We, the People",2004,swades we the people,15774.0,tt0367110,2004-12-17,7.3,78.0,title_norm
Der Untergang,2004,der untergang,613,tt0363163,2004-09-08,7.7,1059.0,original_title_norm
Hauru no ugoku shiro,2004,hauru no ugoku shiro,,,,,,
A Beautiful Mind,2001,a beautiful mind,453.0,tt0268978,2001-12-11,7.7,3087.0,title_norm
Hera Pheri,2000,hera pheri,21614.0,tt0242519,2000-03-31,6.4,39.0,title_norm
